0,Start,i,a,b,c,d,e,f,g,h,k,End,m
Start,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0
i,0,0.71,0.17,0,0,0,0,0,0,0,0.11,0,0
a,0,0,0.43,0.06,0.08,0.18,0.12,0.11,0,0,0,0,0
b,0,0,0.1,0.89,0,0,0,0,0,0,0,0,0
c,0,0,0.23,0,0.35,0.14,0,0.18,0,0,0,0,0
d,0,0,0.36,0,0.07,0.26,0.12,0,0.13,0,0,0,0
e,0,0,0,0,0,0.27,0.27,0.4,0,0,0,0,0
f,0,0,0,0,0.25,0,0.23,0.41,0,0.05,0,0,0
g,0,0,0,0,0,0.42,0.29,0,0.25,0,0,0,0
h,0,0,0,0,0,0,0,0,0.95,0,0,0.05,0
k,0,0.11,0,0,0.07,0.06,0,0.15,0,0,0.48,0.06,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0.17,0,0,0,0,0.83
