0,Start,i,j,a,b,c,d,e,f,g,h,m,End
Start,0,0.93,0.07,0,0,0,0,0,0,0,0,0,0
i,0,0.23,0.12,0.13,0.19,0.09,0.08,0.09,0,0,0.06,0,0
j,0,0.62,0,0.33,0,0,0,0,0,0,0,0,0
a,0,0.4,0.52,0,0,0,0,0,0,0,0,0,0.06
b,0,0.65,0,0,0.08,0.27,0,0,0,0,0,0,0
c,0,0.81,0.13,0.05,0,0,0,0,0,0,0,0,0
d,0,1,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0.32,0.32,0,0.31,0,0
f,0,0,0,0,0,0,0,0,0,0.74,0.23,0,0
g,0,0,0,0,0,0,0,0.5,0,0.43,0,0,0
h,0,0,0,0,0.17,0,0,0.05,0,0.08,0.11,0.57,0
m,0,0,0,0,0,0.21,0,0,0,0,0.25,0.46,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0
