Bird name,Species,No. of bouts,Avg. No. of Syll per song,Song duration,Avg. repeats of first syll,Minimum motif length
BCC_M01,BCC,18,16,-3.137222222222223,1.0555555555555556,12
BCC_M03,BCC,21,22,-4.099047619047618,1.8095238095238095,6
BCC_M08,BCC,51,12,-4.434117647058824,2.627450980392157,3
BCC_M09,BCC,33,16,-6.271818181818182,1.4848484848484849,3
BCC_M11,BCC,29,19,-5.756896551724139,1.4482758620689655,6
BCC_M19,BCC,48,23,-8.560625,1.75,6
BCC_M21,BCC,212,9,-5.267735849056605,1.0754716981132075,2
BCC_M22,BCC,17,39,-1.1311764705882354,1.0,11
BF_brn25pnk14,BF,25,76,13.300400000000002,2.16,48
BF_brn35pnk21,BF,25,133,16.026400000000002,1.36,84
BF_brn36pnk24,BF,27,101,14.35,2.925925925925926,36
BF_org27ylw19,BF,29,63,10.815862068965519,2.896551724137931,19
JF_red28blu13,JF,28,22,8.907142857142858,1.3571428571428572,13
JF_ylw14gry00,JF,19,22,6.646315789473684,1.5263157894736843,7
JF_ylw20gry09,JF,27,32,8.042592592592593,2.4074074074074074,8
JF_ylw22gry08,JF,32,15,3.9475,1.75,9
JF_ylw25gry11,JF,30,25,9.236666666666668,5.233333333333333,13
ZF_grn21org41,ZF,148,16,3.501621621621622,3.3783783783783785,6
ZF_org01wht58,ZF,74,22,5.355675675675675,2.3783783783783785,4
ZF_org11pnk05,ZF,109,25,5.766697247706422,2.4862385321100917,4
ZF_pnk93pnk91,ZF,78,19,3.363717948717949,2.1538461538461537,5
ZF_red15ylw15,ZF,87,22,4.657471264367815,1.9885057471264367,9
ZF_red77pnk45,ZF,111,19,3.247567567567568,2.108108108108108,9
ZF_ylw67brn42,ZF,61,23,5.574098360655738,1.639344262295082,7
ZF_ylw95ylw29,ZF,61,37,6.507377049180328,3.540983606557377,10
