0,Start,i,j,a,b,c,d,e,f,g,h,p,q,r,End,k,l,m,o
Start,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15
i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0,0,0.95,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0.05,0,0,0,0
f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.89,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.67,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.83,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0.41,0
o,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
